Дата операции,Референс проводки,Приход,Расход
4/15/2022 19:15,CRD_4878MA,0,1238
4/15/2022 18:00,B011504220326599,2000,0
4/15/2022 16:45,CRD_4878MA',0,1238
4/15/2022 15:30,CRD_31W1VA,0,2444.65
4/15/2022 14:15,B011504220316919,2000,0
4/15/2022 13:00,CRD_31W1VA',0,2444.65
4/15/2022 11:45,C161504220340571,0,1500
4/15/2022 10:30,B011504220220405,3000,0
4/15/2022 9:15,C161504220340571',0,1500
4/15/2022 8:00,A021504220000603,0,1000
4/14/2022 18:00,CRD_37T381,0,457
4/14/2022 13:00,A011404220043998,0,500
4/14/2022 8:00,A011404220014230,0,300
4/13/2022 15:30,CRD_6AA85N,0,2680.21
4/13/2022 8:00,CRD_5YS81N,0,380
4/12/2022 15:30,CRD_9HS6B4,0,160
4/12/2022 8:00,CRD_9UZ116,0,226
4/11/2022 18:00,CRD_62655Y,0,500
4/11/2022 13:00,CRD_1U29BY,0,400
4/11/2022 8:00,C071104220073071,0,400
4/10/2022 18:00,CRD_9NK3KR,0,3378
4/10/2022 13:00,CRD_96H2KF,0,668.42
4/10/2022 8:00,CRD_4TR6FF,0,750
4/9/2022 15:30,CRD_9UC44A,0,667
4/9/2022 8:00,CRD_1RX72A,0,977
4/8/2022 18:00,CRD_8432K1,0,394.76
4/8/2022 13:00,CRD_6AK070,0,1257.49
4/8/2022 8:00,CRD_124140,0,1892
4/7/2022 15:30,CRD_5WR9WE,0,890
4/7/2022 8:00,CRD_5RT67E,0,170
4/6/2022 20:51,CRD_96K5Z3,0,820
4/6/2022 18:42,CRD_7820C8,0,530.71
4/6/2022 16:34,MOYB 06204000361,0,99
4/6/2022 14:25,C160604220380574,0,6000
4/6/2022 12:17,C160604220325512,0,10500
4/6/2022 10:08,C020604220005944,0,6711.93
4/6/2022 8:00,C070604220031257,0,1000
4/5/2022 20:30,CRD_8K09ZZ,0,685.07
4/5/2022 18:00,CRD_3Z33YZ,0,420
4/5/2022 15:30,OP1ED2245001ZOPN,0,18628.8
4/5/2022 13:00,OP1ED2245001XQG8,62096.01,0
4/5/2022 10:30,OP1ED2245001ZOPC,0,522
4/5/2022 8:00,OP1ED2245001XQG7,1740,0
4/4/2022 20:00,CRD_57857M,0,3468.72
4/4/2022 17:00,B010404220224796,300,0
4/4/2022 14:00,CRD_57857M',0,3468.72
4/4/2022 11:00,B010404220223815,3000,0
4/4/2022 8:00,CRD_57857M'',0,3468.72
4/1/2022 21:20,CRD_1ZV6MN,0,777
4/1/2022 19:40,CRD_9126BN,0,500
4/1/2022 18:00,CRD_76F7BE,0,422
4/1/2022 16:20,CRD_5T16BE,0,1425.57
4/1/2022 14:40,B010104220353782,2500,0
4/1/2022 13:00,CRD_5T16BE',0,1425.57
4/1/2022 11:20,CRD_4WU2XN,0,1948
4/1/2022 9:40,CRD_2EB7UR,0,420
4/1/2022 8:00,A010104220077728,0,350
3/31/2022 8:00,CRD_1MB904,0,150
3/30/2022 21:07,CRD_3Y36TT,0,50
3/30/2022 19:15,CRD_8KF3VT,0,540
3/30/2022 17:22,CRD_73C0TT,0,2800
3/30/2022 15:30,B013003220024518,5000,0
3/30/2022 13:37,CRD_73C0TT',0,2800
3/30/2022 11:45,CRD_3F215Z,0,1312.46
3/30/2022 9:52,B013003220017812,3000,0
3/30/2022 8:00,CRD_3F215Z',0,1312.46
3/29/2022 21:07,CRD_7N923E,0,22750
3/29/2022 19:15,CRD_38B2BH,0,100
3/29/2022 17:22,CRD_3E519M,0,505
3/29/2022 15:30,CRD_20S7NC,0,120
3/29/2022 13:37,CRD_2N45WE,0,140
3/29/2022 11:45,CRD_1C81BM,0,1075.92
3/29/2022 9:52,B012903220034366,22000,0
3/29/2022 8:00,CRD_7N923E',0,22750
3/28/2022 21:20,CRD_8N98E7,0,200
3/28/2022 19:40,CRD_62N4X3,0,408
3/28/2022 18:00,CRD_8WM304,0,3915
3/28/2022 16:20,B012803220219985,5000,0
3/28/2022 14:40,CRD_8WM304',0,3915
3/28/2022 13:00,CRD_61S318,0,4152.95
3/28/2022 11:20,C072803220084344,0,200
3/28/2022 9:40,B012803220026745,5000,0
